Start log
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
seed_pdt_drone.command, (takeoff,false,0), (flyto(circle(fire_hydrant)),true,10), WINNER(flyto(circle(fire_hydrant)),10)
